id,code,start_date,end_date
waybill_numero_autorizacion_naviero_24,SCT418/034/2017,2017-06-29,2022-06-30
waybill_numero_autorizacion_naviero_25,SCT418/035/2017,2017-07-03,2022-07-04
waybill_numero_autorizacion_naviero_26,SCT418/038/2017,2017-07-24,2022-07-25
waybill_numero_autorizacion_naviero_27,SCT418/044/2017,2017-09-11,2022-09-12
waybill_numero_autorizacion_naviero_28,SCT418/045/2017,2017-09-12,2022-09-13
waybill_numero_autorizacion_naviero_29,SCT418/047/2017,2017-10-02,2022-10-03
waybill_numero_autorizacion_naviero_30,SCT418/053/2017,2017-10-24,2022-10-25
waybill_numero_autorizacion_naviero_31,SCT418/054/2017,2017-10-30,2022-10-31
waybill_numero_autorizacion_naviero_32,SCT418/056/2017,2017-11-06,2022-11-07
waybill_numero_autorizacion_naviero_33,SCT418/057/2017,2017-11-06,2022-11-07
waybill_numero_autorizacion_naviero_34,SCT418/060/2017,2017-11-15,2022-11-16
