id,code,name,start_date
waybill_producto_stcc_158,20472,Alimentos enlatados para mascotas,2021-06-01
waybill_producto_stcc_159,205,Productos de panaderia,2021-06-01
waybill_producto_stcc_160,206,Azucar,2021-06-01
waybill_producto_stcc_161,2061,Prd y subproductos de molino de azucar,2021-06-01
waybill_producto_stcc_162,20611,Azucar crudo de ca\xc3\xb1a y remolacha,2021-06-01
waybill_producto_stcc_163,20616,"Melazas de azucar, exc blackstrap",2021-06-01
waybill_producto_stcc_164,20617,Melaza,2021-06-01
waybill_producto_stcc_165,2062,Azucar refinado de ca\xc3\xb1a y remolacha,2021-06-01
waybill_producto_stcc_166,20625,Subproductos del refino de azucar,2021-06-01
waybill_producto_stcc_167,20626,"Pulpa, melaza, remolacha",2021-06-01
waybill_producto_stcc_168,207,Confiteria y prd relacionados,2021-06-01
waybill_producto_stcc_169,208,Bebidas y extractos,2021-06-01
waybill_producto_stcc_170,20821,"Cerveza, ale, porter, grueso",2021-06-01
waybill_producto_stcc_171,20823,Cerveceros granos gastados,2021-06-01
waybill_producto_stcc_172,2083,Malta,2021-06-01
waybill_producto_stcc_173,2084,"Vinos, brandy, licores",2021-06-01
waybill_producto_stcc_174,20851,Licores destilados y mezclados,2021-06-01
waybill_producto_stcc_175,20859,Destilados de licor,2021-06-01
waybill_producto_stcc_176,2086,Refrescos enlatados,2021-06-01
waybill_producto_stcc_177,2087,Extractos miscelaneos sin chocolate,2021-06-01
waybill_producto_stcc_178,209,Preparaciones alimenticias diversas,2021-06-01
waybill_producto_stcc_179,20911,Aceite de algodon,2021-06-01
waybill_producto_stcc_180,20914,Pastel o harina de semillas de algodon,2021-06-01
waybill_producto_stcc_181,20921,Aceite de soja,2021-06-01
waybill_producto_stcc_182,20923,Pastel o harina de soja,2021-06-01
waybill_producto_stcc_183,2093,Aceites vegetales y de nueces,2021-06-01
waybill_producto_stcc_184,2094,Grasas y aceites marinos,2021-06-01
waybill_producto_stcc_185,2095,Cafe tostado,2021-06-01
waybill_producto_stcc_186,2096,"Manteca, aceites de mesa, etc.",2021-06-01
waybill_producto_stcc_187,2097,"Hielo, natural o elaborado",2021-06-01
waybill_producto_stcc_188,2098,"Macarrones, espaguetis, etc.",2021-06-01
waybill_producto_stcc_189,21,Productos de tabaco,2021-06-01
waybill_producto_stcc_190,211,Cigarrillos,2021-06-01
waybill_producto_stcc_191,212,Puros,2021-06-01
waybill_producto_stcc_192,213,Mascar y fumar tabaco,2021-06-01
waybill_producto_stcc_193,214,Tabaco despalillado y resecado,2021-06-01
waybill_producto_stcc_194,22,Productos textiles para fabricas,2021-06-01
waybill_producto_stcc_195,221,Tejidos anchos de algodon,2021-06-01
waybill_producto_stcc_196,222,Fibra y seda artificiales,2021-06-01
waybill_producto_stcc_197,223,Tejidos anchos de lana,2021-06-01
waybill_producto_stcc_198,224,Tejidos estrechos,2021-06-01
waybill_producto_stcc_199,225,Tejidos de punto,2021-06-01
waybill_producto_stcc_200,227,"Revestimientos de suelo, textiles",2021-06-01
waybill_producto_stcc_201,228,Hilo e hilo,2021-06-01
waybill_producto_stcc_202,229,Productos textiles diversos,2021-06-01
waybill_producto_stcc_203,2296,Cordones y tejidos para neumaticos,2021-06-01
waybill_producto_stcc_204,2297,Lana y mohair,2021-06-01
waybill_producto_stcc_205,2298,Cordaje y bramante,2021-06-01
waybill_producto_stcc_206,23,Ropa y otros textiles acabados,2021-06-01
waybill_producto_stcc_207,231,Ropa para hombres y ni\xc3\xb1os,2021-06-01
