id,code,name,between,stop_to,grant_receive,concessionaire,start_date
waybill_codigo_derecho_paso_104,CDP105,TVM-3,Kilometros VK-24+883 = V-18+781,Los Reyes  (Km. VK-27+000),Otorga," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.",2021-06-01
waybill_codigo_derecho_paso_105,CDP106,TVM-4,Naucalpan (Km. N-11+000),Pantaco (Km. A-4+138),Recibe," Via ferrea de la Terminal del  Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.) ",2021-06-01
waybill_codigo_derecho_paso_106,CDP107,TVM-4,Naucalpan (Km. N-11+000),Pantaco (Km. A-4+138),Otorga," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.",2021-06-01
waybill_codigo_derecho_paso_107,CDP108,TVM-5,Kilometros N-1+095,N-2+438 = CNA -0+000,Recibe," Via ferrea de la Terminal del  Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.) ",2021-06-01
waybill_codigo_derecho_paso_108,CDP109,TVM-5,N-1+095,N-2+438 = CNA -0+000,Otorga," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.",2021-06-01
waybill_codigo_derecho_paso_109,CDP110,TVM-6,A-2+576 ,A-43+969,Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_110,CDP111,TVM-6,A-2+576,A-43+969,Otorga,"Via ferrea del Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_111,CDP112,TVM-7,A-2+576,A-44+000,Recibe," Via ferrea de la Terminal del  Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.) ",2021-06-01
waybill_codigo_derecho_paso_112,CDP113,TVM-7,A-2+576,A-43+969,Otorga," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.",2021-06-01
waybill_codigo_derecho_paso_113,CDP114,TVM-8,Km. H-0+295 = B-21+020, Km. S-47+616,Recibe,"  Via Ferrocarril y Terminal del Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_114,CDP115,TVM-8,H-0+295 = B-21+020,S-47+616,Otorga,"Via ferrea del Sureste  (actualmente Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_115,CDP116,TVM-9,S-0+000 = A-12+386,S-47+616 (Teotihuacan),Recibe,"  Via Ferrocarril y Terminal del Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_116,CDP117,TVM-9,S-0+000 = A-12+386,S-43+483,Otorga,"Via ferrea del Sureste  (actualmente Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_117,CDP118,TEMP-1,Arellano (Km. A-574+000),Silao ,Recibe," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_118,CDP119,TEMP-2,Santa Fe (Km. V454+600),Jalapa (V-338+600),Recibe," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.)",2021-06-01
