"id","code","name","class_div","danger_sec","start_date"
"waybill_materiales_peligrosos_80","0150","TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA TNPE) HUMEDECIDO con no menos de 25%, en masa, de agua, o TETRANITRATO DE PENTAERITRITO (TETRANITRATO DE PENTAERITRITOL; TNPE) DESENSIBILIZADO con no menos de 15%, en masa, de flemador","1.1D",,2021-12-01
"waybill_materiales_peligrosos_81","0151","PENTOLITA seca o humedecida con menos de 15%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_82","0153","TRINITROANILINA (PICRAMIDA)","1.1D",,2021-12-01
"waybill_materiales_peligrosos_83","0154","TRINITROFENOL (ACIDO PICRICO) seco o humedecido con menos de 30%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_84","0155","TRINITROCLOROBENCENO (CLORURO DE PICRILO)","1.1D",,2021-12-01
"waybill_materiales_peligrosos_85","0159","PASTA DE POLVORA HUMEDECIDA con no menos de 25%, en masa, de agua","1.3C",,2021-12-01
"waybill_materiales_peligrosos_86","0160","POLVORA SIN HUMO","1.1C",,2021-12-01
"waybill_materiales_peligrosos_87","0161","POLVORA SIN HUMO","1.3C",,2021-12-01
"waybill_materiales_peligrosos_88","0167","PROYECTILES con carga explosiva","1.1F",,2021-12-01
"waybill_materiales_peligrosos_89","0168","PROYECTILES con carga explosiva","1.1D",,2021-12-01
"waybill_materiales_peligrosos_90","0169","PROYECTILES con carga explosiva","1.2D",,2021-12-01
"waybill_materiales_peligrosos_91","0171","MUNICIONES DE ILUMINACION con o sin carga detonante, carga expulsora o carga propulsora","1.2G",,2021-12-01
"waybill_materiales_peligrosos_92","0173","DISPOSITIVOS EXPLOSIVOS DE LIBERACION","1.4S",,2021-12-01
"waybill_materiales_peligrosos_93","0174","REMACHES EXPLOSIVOS","1.4S",,2021-12-01
"waybill_materiales_peligrosos_94","0180","COHETES con carga explosiva","1.1F",,2021-12-01
"waybill_materiales_peligrosos_95","0181","COHETES con carga explosiva","1.1E",,2021-12-01
"waybill_materiales_peligrosos_96","0182","COHETES con carga explosiva","1.2E",,2021-12-01
"waybill_materiales_peligrosos_97","0183","COHETES con cabeza inerte","1.3C",,2021-12-01
"waybill_materiales_peligrosos_98","0186","MOTORES DE COHETE","1.3C",,2021-12-01
"waybill_materiales_peligrosos_99","0190","MUESTRAS DE EXPLOSIVOS, excepto los explosivos iniciadores",,,2021-12-01
"waybill_materiales_peligrosos_100","0191","ARTIFICIOS MANUALES DE PIROTECNIA PARA SEÑALES","1.4G",,2021-12-01
"waybill_materiales_peligrosos_101","0192","PETARDOS DE SEÑALES EXPLOSIVAS PARA FERROCARRIL ","1.1G",,2021-12-01
"waybill_materiales_peligrosos_102","0193","PETARDOS DE SEÑALES EXPLOSIVAS PARA FERROCARRIL","1.4S",,2021-12-01
"waybill_materiales_peligrosos_103","0194","SEÑALES DE SOCORRO para barcos","1.1G",,2021-12-01
"waybill_materiales_peligrosos_104","0195","SEÑALES DE SOCORRO para barcos","1.3G",,2021-12-01
"waybill_materiales_peligrosos_105","0196","SEÑALES FUMIGENAS","1.1G",,2021-12-01
"waybill_materiales_peligrosos_106","0197","SEÑALES FUMIGENAS","1.4G",,2021-12-01
"waybill_materiales_peligrosos_107","0204","CARGAS EXPLOSIVAS PARA SONDEOS","1.2F",,2021-12-01
"waybill_materiales_peligrosos_108","0207","TETRANITROANILINA","1.1D",,2021-12-01
"waybill_materiales_peligrosos_109","0208","TRINITROFENILMETILNITRAMINA (TETRILO)","1.1D",,2021-12-01
"waybill_materiales_peligrosos_110","0209","TRINITROTOLUENO (TNT) seco o humedecido con menos de 30%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_111","0212","TRAZADORES PARA MUNICIONES","1.3G",,2021-12-01
"waybill_materiales_peligrosos_112","0213","TRINITROANISOL","1.1D",,2021-12-01
"waybill_materiales_peligrosos_113","0214","TRINITROBENCENO seco o humedecido con menos de 30%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_114","0215","ACIDO TRINITROBENZOICO seco o humedecido con menos de 30%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_115","0216","TRINITRO-m-CRESOL","1.1D",,2021-12-01
"waybill_materiales_peligrosos_116","0217","TRINITRONAFTALENO","1.1D",,2021-12-01
"waybill_materiales_peligrosos_117","0218","TRINITROFENETOL","1.1D",,2021-12-01
"waybill_materiales_peligrosos_118","0219","TRINITRORRESORCINOL  (TRINITRORRESORCINA, ACIDO ESTIFNICO) seco o humedecido con menos de 20%, en masa, de agua o de una mezcla de alcohol y agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_119","0220","NITRATO DE UREA seco o humedecido con menos de 20%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_120","0221","CABEZAS DE COMBATE PARA TORPEDOS, con carga explosiva","1.1D",,2021-12-01
"waybill_materiales_peligrosos_121","0222","NITRATO DE AMONIO con más de 0,2% de materias combustibles, incluyendo cualquier substancia orgánica calculada como carbono, con la exclusión de cualquier otra substancia añadida","1.1D",,2021-12-01
"waybill_materiales_peligrosos_122","0224","AZIDA DE BARIO seca o humedecida con menos de 50%, en masa, de agua","1.1ª",6.1,2021-12-01
"waybill_materiales_peligrosos_123","0225","PETARDOS MULTIPLICADORES CON DETONADOR","1.1B",,2021-12-01
"waybill_materiales_peligrosos_124","0226","CICLOTETRAMETILENTETRANITRA-MINA (OCTOGENO; HMX) HUMEDECIDA con no menos de 15%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_125","0234","DINITRO-o-CRESOLATO SODICO seco o humedecido con menos de 15%, en masa, de agua","1.3C",,2021-12-01
"waybill_materiales_peligrosos_126","0235","PICRAMATO DE SODIO seco o humedecido con menos de 20%, en masa, de agua","1.3C",,2021-12-01
"waybill_materiales_peligrosos_127","0236","PICRAMATO DE CIRCONIO seco o humedecido con menos de 20%, en masa, de agua","1.3C",,2021-12-01
"waybill_materiales_peligrosos_128","0237","CARGAS PERFILADAS DE DISEÑO FLEXIBLE ALINEADAS (MECHA DETONANTE PERFILADA FLEXIBLE) ","1.4D",,2021-12-01
"waybill_materiales_peligrosos_129","0238","COHETES LANZACABOS","1.2G",,2021-12-01
"waybill_materiales_peligrosos_130","0240","COHETES LANZACABOS","1.3G",,2021-12-01
"waybill_materiales_peligrosos_131","0241","EXPLOSIVOS PARA VOLADURAS, TIPO E","1.1D",,2021-12-01
"waybill_materiales_peligrosos_132","0242","CARGAS PROPULSORAS DE ARTILLERIA","1.3C",,2021-12-01
"waybill_materiales_peligrosos_133","0243","MUNICIONES INCENDIARIAS DE FOSFORO BLANCO, con carga detonante, carga expulsora o carga propulsora","1.2H",,2021-12-01
"waybill_materiales_peligrosos_134","0244","MUNICIONES INCENDIARIAS DE FOSFORO BLANCO, con carga detonante, carga expulsora o carga propulsora","1.3H",,2021-12-01
"waybill_materiales_peligrosos_135","0245","MUNICIONES FUMIGENAS CON FOSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora","1.2H",,2021-12-01
"waybill_materiales_peligrosos_136","0246","MUNICIONES FUMIGENAS CON FOSFORO BLANCO, con carga detonante, carga expulsora o carga propulsora","1.3H",,2021-12-01
"waybill_materiales_peligrosos_137","0247","MUNICIONES INCENDIARIAS en forma de líquido o de gel, con carga detonante, carga expulsora o carga propulsora","1.3J",,2021-12-01
"waybill_materiales_peligrosos_138","0248","DISPOSITIVOS ACTIVADOS POR AGUA, con carga detonante carga expulsora o carga propulsora","1.2L",,2021-12-01
"waybill_materiales_peligrosos_139","0249","DISPOSITIVOS ACTIVADOS POR AGUA, con carga detonante carga expulsora o carga propulsora","1.3L",,2021-12-01
"waybill_materiales_peligrosos_140","0250","MOTORES DE COHETE CON LIQUIDOS HIPERGOLICOS, con o sin carga expulsora","1.3L",,2021-12-01
"waybill_materiales_peligrosos_141","0254","MUNICIONES DE LUMINACIÓN con o sin carga detonante, carga expulsora o carga propulsora","1.3G",,2021-12-01
"waybill_materiales_peligrosos_142","0255","DETONADORES ELECTRICOS para voladuras","1.4B",,2021-12-01
"waybill_materiales_peligrosos_143","0257","ESPOLETAS DETONANTES","1.4B",,2021-12-01
"waybill_materiales_peligrosos_144","0266","OCTOLITA (OCTOL) seca o humidificada con menos de 15%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_145","0267","DETONADORES NO ELECTRICOS para voladuras","1.4B",,2021-12-01
"waybill_materiales_peligrosos_146","0268","PETARDOS MULTIPLICADORES CON DETONADOR","1.2B",,2021-12-01
"waybill_materiales_peligrosos_147","0271","CARGAS PROPULSORAS","1.1C",,2021-12-01
"waybill_materiales_peligrosos_148","0272","CARGAS PROPULSORAS","1.3C",,2021-12-01
"waybill_materiales_peligrosos_149","0275","CARTUCHOS DE ACCIONAMIENTO","1.3C",,2021-12-01
