id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_100,02,PM101,Tuxpan,Mexico,,,2021-06-01
waybill_complemento_estacion_101,02,PM102,Coatzacoalcos,Mexico,,,2021-06-01
waybill_complemento_estacion_102,02,PM103,Pajaritos,Mexico,,,2021-06-01
waybill_complemento_estacion_103,02,PM104,Alvarado,Mexico,,,2021-06-01
waybill_complemento_estacion_104,02,PM105,Tlacotalpan,Mexico,,,2021-06-01
waybill_complemento_estacion_105,02,PM106,Nautla,Mexico,,,2021-06-01
waybill_complemento_estacion_106,02,PM107,Tecolutla,Mexico,,,2021-06-01
waybill_complemento_estacion_107,02,PM108,Puerto Progreso,Mexico,,,2021-06-01
waybill_complemento_estacion_108,02,PM109,Celestun,Mexico,,,2021-06-01
waybill_complemento_estacion_109,02,PM110,Sisal,Mexico,,,2021-06-01
waybill_complemento_estacion_110,02,PM111,Chuburna,Mexico,,,2021-06-01
waybill_complemento_estacion_111,02,PM112,Yucalpeten,Mexico,,,2021-06-01
waybill_complemento_estacion_112,02,PM113,Telchac,Mexico,,,2021-06-01
waybill_complemento_estacion_113,02,PM114,Chabihau,Mexico,,,2021-06-01
waybill_complemento_estacion_114,02,PM115,Dzilam de Bravo,Mexico,,,2021-06-01
waybill_complemento_estacion_115,02,PM116,San Felipe,Mexico,,,2021-06-01
waybill_complemento_estacion_116,02,PM117,Rio Lagartos,Mexico,,,2021-06-01
waybill_complemento_estacion_117,02,PM118,Las Coloradas,Mexico,,,2021-06-01
waybill_complemento_estacion_118,02,PM119,El Cuyo,Mexico,,,2021-06-01
waybill_complemento_estacion_119,02,PM120,Extranjera,Extranjera,,,2021-06-01
waybill_complemento_estacion_120,03,EA001,Konrad Adenauer,Alemania,CGN,,2021-06-01
waybill_complemento_estacion_121,03,EA002,Rhein-Ruhr,Alemania,DUS,,2021-06-01
waybill_complemento_estacion_122,03,EA003,M�nster/Osnabr�ck,Alemania,FMO,,2021-06-01
waybill_complemento_estacion_123,03,EA004,Rhein-Main,Alemania,FRA,,2021-06-01
waybill_complemento_estacion_124,03,EA005,Hannover,Alemania,HAJ,,2021-06-01
waybill_complemento_estacion_125,03,EA006,Fuhlsb�ttel,Alemania,HAM,,2021-06-01
waybill_complemento_estacion_126,03,EA007,Frankfurt-Hahn,Alemania,HHN,,2021-06-01
waybill_complemento_estacion_127,03,EA008,Franz Josef Strauss,Alemania,MUC,,2021-06-01
waybill_complemento_estacion_128,03,EA009,N�rnberg,Alemania,NUE,,2021-06-01
waybill_complemento_estacion_129,03,EA010,Prince Mohammad Bin Abdulaziz,Arabia Saudita,MED,,2021-06-01
waybill_complemento_estacion_130,03,EA011,Ingeniero Aeronautico Ambrosio L.V. Taravella,Argentina,COR,,2021-06-01
waybill_complemento_estacion_131,03,EA012,Ministro Pistarini,Argentina,EZE,,2021-06-01
waybill_complemento_estacion_132,03,EA013,Astor Piazzolla,Argentina,MDQ,,2021-06-01
